Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Actual_Protein,Actual_Calories,Actual_Fat,Actual_Sat.Fat,Actual_Fiber,Actual_Carbs
Cherry Pie,1 slice,135,340,3.0,13,11,0.1,55.0,Desserts sweets,0.022222222222222223,2.5185185185185186,0.0962962962962963,0.08148148148148149,0.0007407407407407408,0.4074074074074074
Lemon meringue,1 slice,120,300,4.0,12,10,0.1,45.0,Desserts sweets,0.03333333333333333,2.5,0.1,0.08333333333333333,0.0008333333333333334,0.375
Mince,1 slice,135,340,3.0,9,8,0.7,62.0,Desserts sweets,0.022222222222222223,2.5185185185185186,0.06666666666666667,0.05925925925925926,0.005185185185185185,0.45925925925925926
Pumpkin Pie,1 slice,130,265,5.0,12,11,8.0,34.0,Desserts sweets,0.038461538461538464,2.0384615384615383,0.09230769230769231,0.08461538461538462,0.06153846153846154,0.26153846153846155
Puddings Sugar,1 cup,200,770,0.0,0,0,0.0,199.0,Desserts sweets,0.0,3.85,0.0,0.0,0.0,0.995
3 teaspoons sugar,1 T.,12,50,0.0,0,0,0.0,12.0,Desserts sweets,0.0,4.166666666666667,0.0,0.0,0.0,1.0
Brown firm-packed dark sugar,1 cup,220,815,0.0,0,0,0.0,210.0,Jams Jellies,0.0,3.7045454545454546,0.0,0.0,0.0,0.9545454545454546
Syrup,2 T.,40,100,0.0,0,0,0.0,25.0,Jams Jellies,0.0,2.5,0.0,0.0,0.0,0.625
table blends sugar,2 T.,40,110,0.0,0,0,0.0,29.0,Jams Jellies,0.0,2.75,0.0,0.0,0.0,0.725
Tapioca cream pudding,1 cup,250,335,10.0,10,9,0.0,42.0,Desserts sweets,0.04,1.34,0.04,0.036,0.0,0.168
Almonds,1/2 cup,70,425,13.0,38,28,1.8,13.0,Seeds and Nuts,0.18571428571428572,6.071428571428571,0.5428571428571428,0.4,0.025714285714285714,0.18571428571428572
roasted and salted,1/2 cup,70,439,13.0,40,31,1.8,13.0,Seeds and Nuts,0.18571428571428572,6.271428571428571,0.5714285714285714,0.44285714285714284,0.025714285714285714,0.18571428571428572
Brazil nuts,1/2 cup,70,457,10.0,47,31,2.0,7.0,Seeds and Nuts,0.14285714285714285,6.5285714285714285,0.6714285714285714,0.44285714285714284,0.02857142857142857,0.1
Cashews,1/2 cup,70,392,12.0,32,28,0.9,20.0,Seeds and Nuts,0.17142857142857143,5.6,0.45714285714285713,0.4,0.012857142857142857,0.2857142857142857
coconut sweetened,1/2 cup,50,274,1.0,20,19,2.0,26.0,Seeds and Nuts,0.02,5.48,0.4,0.38,0.04,0.52
Peanut butter,1/3 cup,50,300,12.0,25,17,0.9,9.0,Seeds and Nuts,0.24,6.0,0.5,0.34,0.018000000000000002,0.18
Peanut butter natural,1/3 cup,50,284,13.0,24,10,0.9,8.0,Seeds and Nuts,0.26,5.68,0.48,0.2,0.018000000000000002,0.16
Peanuts,1/3 cup,50,290,13.0,25,16,1.2,9.0,Seeds and Nuts,0.26,5.8,0.5,0.32,0.024,0.18
Pecans,1/2 cup,52,343,5.0,35,25,1.1,7.0,Seeds and Nuts,0.09615384615384616,6.596153846153846,0.6730769230769231,0.4807692307692308,0.021153846153846155,0.1346153846153846
Sesame seeds,1/2 cup,50,280,9.0,24,13,3.1,10.0,Seeds and Nuts,0.18,5.6,0.48,0.26,0.062,0.2
Sunflower seeds,1/2 cup,50,280,12.0,26,7,1.9,10.0,Seeds and Nuts,0.24,5.6,0.52,0.14,0.038,0.2
Walnuts,1/2 cup,50,325,7.0,32,7,1.0,8.0,Seeds and Nuts,0.14,6.5,0.64,0.14,0.02,0.16
Beer,2 cups,480,228,0.0,0,0,0.0,8.0,DrinksAlcohol Beverages,0.0,0.475,0.0,0.0,0.0,0.016666666666666666
Gin,1 oz.,28,70,0.0,0,0,0.0,0.0,DrinksAlcohol Beverages,0.0,2.5,0.0,0.0,0.0,0.0
Wines,1/2 cup,120,164,0.0,0,0,0.0,9.0,DrinksAlcohol Beverages,0.0,1.3666666666666667,0.0,0.0,0.0,0.075
Table (12.2% alcohol),1/2 cup,120,100,0.0,0,0,0.0,5.0,DrinksAlcohol Beverages,0.0,0.8333333333333334,0.0,0.0,0.0,0.041666666666666664
Carbonated drinks Artificially sweetened,12 oz.,346,0,0.0,0,0,0.0,0.0,DrinksAlcohol Beverages,0.0,0.0,0.0,0.0,0.0,0.0
Club soda,12 oz.,346,0,0.0,0,0,0.0,0.0,DrinksAlcohol Beverages,0.0,0.0,0.0,0.0,0.0,0.0
Cola drinks,12 oz.,346,137,0.0,0,0,0.0,38.0,DrinksAlcohol Beverages,0.0,0.3959537572254335,0.0,0.0,0.0,0.10982658959537572
Fruit-flavored soda,12 oz.,346,161,0.0,0,0,0.0,42.0,DrinksAlcohol Beverages,0.0,0.4653179190751445,0.0,0.0,0.0,0.12138728323699421
